Real_Value,Predicted_value_Lasso
74.18,60.761295083538684
66.00614929199219,67.52423274215937
68.30000305175781,65.9464201793098
61.099998474121094,57.572981017399435
63.79999923706055,60.82418186275024
55.59862518310547,57.282310883275684
57.9000015258789,57.07377225427025
68.0,68.43673699515509
72.19999694824219,73.48206435471491
65.63993835449219,66.31805800819899
58.5,56.90049689953297
67.08278656005861,70.22688075508296
67.09999847412111,67.74700700449765
64.30000305175781,63.22632696594667
73.0,71.90733866370698
66.09999847412111,66.01930263199661
53.88945388793945,55.15890468384968
66.75021870930989,67.34219566032475
64.80000305175781,63.141988840638746
66.09999847412111,67.41796493653298
73.70222473144531,74.22653401680356
69.0,66.60941734658513
67.80000305175781,66.7806802215362
64.30000305175781,62.5409993354372
63.88555526733398,63.10465113358035
66.80746459960939,67.86856559089944
62.29999923706055,63.252112222425446
62.29999923706055,65.59826503314886
71.10298919677734,71.49833966867072
54.31246566772461,55.783517613621584
68.59999847412111,67.47383079846026
55.9000015258789,56.01908688288773
58.28437805175781,61.37968917467803
63.88555526733398,62.9993561879107
58.0,56.61328361433297
65.80000305175781,67.25617164885884
53.29999923706055,52.73798083139566
67.30000305175781,71.17943477422784
55.29999923706055,53.94069093200352
73.69999694824219,71.23525651973368
61.52996826171875,61.86286480830451
52.9000015258789,55.09375907959289
72.19999694824219,68.86323309330339
73.9000015258789,75.24527757726143
70.0,71.12775671783905
69.59999847412111,67.17709573281596
68.5,66.42912500254354
70.04793548583984,70.38304566983324
54.20000076293945,51.982693983835276
73.0999984741211,70.95758735341656
75.0,72.89077856763117
45.20000076293945,49.75276296489602
62.5,65.21065941769487
73.80000305175781,73.99737965005687
61.7801513671875,63.015048948260045
73.5999984741211,70.80436695561966
56.50601196289063,59.43704986596199
67.30000305175781,66.57849640476894
72.0,73.66369380679862
73.70222473144531,73.63600201135077
52.79999923706055,53.24639883600087
72.60076904296875,74.05959805954741
55.01201629638672,56.60265077333516
66.90000152587889,66.3972834840177
45.20000076293945,47.75123146805413
69.90061950683594,70.1385180549232
66.80000305175781,66.17129398817424
66.40000152587889,66.23769830554807
68.0,66.76318269749926
73.60453796386719,74.74667612729728
75.0999984741211,75.00835159178803
66.90000152587889,70.30261563477735
67.09999847412111,68.71895163379659
72.40250396728516,73.91857424447645
76.7717056274414,74.31551845155425
67.90000152587889,68.92969490650354
72.19999694824219,71.64354086126191
61.09884643554688,61.281450625754644
73.70222473144531,70.65381101780369
54.71989822387695,55.63867146800694
66.59999847412111,63.85714915459519
74.37,60.59375958127306
56.0963134765625,56.20915696009913
67.0,62.59436024032334
64.10045623779297,65.84740063040918
73.0,74.21274720262869
53.50009536743164,54.098364425659945
69.5,67.2448730851059
56.20000076293945,58.22359351110236
69.31113433837889,69.87819918948551
73.70222473144531,71.3394601071063
76.7717056274414,77.21849953818602
71.5,71.35343301774012
55.70000076293945,53.85425969500748
68.10023498535156,67.7716566613462
61.70000076293945,62.01811255237966
57.5,59.12689027711547
71.9000015258789,71.40741885322055
66.30000305175781,64.49336221602027
62.099998474121094,62.849513554770795
67.20006561279297,67.58612012025463
65.90000152587889,65.31040806400364
71.58,63.97294511184418
66.09999847412111,66.11983100340696
60.20000076293945,62.64485153988574
67.80000305175781,65.38011579180429
66.5,64.65890970450907
57.92448043823242,59.32948963293641
69.59999847412111,72.18016129895561
51.72698211669922,53.659096401231146
66.19999694824219,66.28295085845936
66.0,66.48076247262526
56.9000015258789,55.14510562525802
74.69999694824219,74.48341030550567
58.63959121704102,58.788185912835374
73.5999984741211,72.26447219412574
66.10433197021484,67.01434115805172
52.599998474121094,54.00217878181878
73.20025634765625,73.48825977427691
73.4000015258789,71.9922763218386
66.59999847412111,66.55551557276544
59.20000076293945,57.869517088979165
73.0,72.49329581818685
69.59999847412111,67.47680898527426
63.60047149658203,63.8878948360841
73.9000015258789,74.06280383348076
73.80000305175781,71.37306466920397
57.01017761230469,58.289933224751096
66.72254943847656,67.59777433280482
60.0,60.835867679085254
58.9000015258789,59.923437476517506
57.599998474121094,60.09077040124401
64.40000152587889,64.76047661610303
52.9000015258789,51.843924811288986
59.70000076293945,59.652812808420364
56.5,57.96938860905195
56.7272834777832,57.26456077680997
67.19999694824219,64.34818508522702
66.59999847412111,64.0608513807991
64.10459136962889,63.48053730268943
65.80000305175781,65.46688319643648
71.0999984741211,67.82569602829838
72.5999984741211,72.67367304546453
64.90000152587889,65.89390980092848
67.09999847412111,64.69530511274212
72.19999694824219,74.10852202134805
65.59999847412111,62.91284426071205
60.099998474121094,59.29113513640728
55.79999923706055,58.81009717498669
58.099998474121094,59.27057890931386
68.59999847412111,66.45904181049437
60.099998474121094,60.402364734030556
57.599998474121094,54.50887161452081
57.0,55.6517909808675
66.80000305175781,64.00634357533704
54.29999923706055,53.85977391822134
68.19999694824219,71.83365254729229
55.0,53.10580704654444
76.80000305175781,75.399912711657
72.30000305175781,71.14528047405813
60.54,55.731004392433476
73.30000305175781,72.36240892198731
69.30000305175781,68.15212641273008
72.4000015258789,70.0402869034864
73.80000305175781,75.14812301508258
53.4000015258789,53.5871931793111
66.90000152587889,64.86113529163654
65.19999694824219,63.17539078874836
67.09999847412111,70.35212925723721
62.30448532104492,64.09208262925401
65.6799799601237,63.473003446315076
74.4000015258789,75.77926862780234
68.29902648925781,68.4447517931543
67.19999694824219,69.73784678051202
